Prodejní cena,Cena v HM,Alternativní cena,PriceWithoutFee,VAT,JC hist. recykl. p?ísp.,CopyrightFee,Currency,Množství skladem,Název 1,Registra?ní ?íslo,PartNumber,?árový kód,MANUFACTURER,IMAGE,URL,DESCRIPTION,Hmotnost,Ší?ka,Výška,Hloubka,WARRANTY,CATEGORYTEXT
8990,10990,9082.64,9091.04,21,8.4,0,CZK,7,RICOH WG-6 BLACK,03842,03842,0026649759123,,,,,0.55,0.,0.,0.,,
8990,10990,9082.64,9091.04,21,8.4,0,CZK,5,RICOH WG-6 Orange,03852,03852,0026649759208,,,,,0.55,0.,0.,0.,,
21890,26790,22140.50,22148.90,21,8.4,0,CZK,10,RICOH GR III black,15038,15038,0027075300170,,,,,0.61,0.,0.,0.,,
25990,31890,26355.37,26363.77,21,8.4,0,CZK,0,RICOH THETA Z1,910774,910774,0026649107740,,,,,0.35,0.,0.,0.,,
18390,22390,18504.13,18512.53,21,8.4,0,CZK,0,RICOH G900,162103,162103,0026649621031,,,,,0.53,0.,0.,0.,,
8350,10290,8504.13,8512.53,21,8.4,0,CZK,2,RICOH THETA SC2 bílá,910800,910800,0026649564031,,,,,0.275,0.,0.,0.,,
8350,10290,8504.13,8512.53,21,8.4,0,CZK,0,RICOH THETA SC2 r?žová,910801,910801,0026649564048,,,,,0.275,0.,0.,0.,,
8350,10290,8504.13,8512.53,21,8.4,0,CZK,2,RICOH THETA SC2 béžová,910802,910802,0026649564055,,,,,0.275,0.,0.,0.,,
8350,10290,8504.13,8512.53,21,8.4,0,CZK,1,RICOH THETA SC2 modrá,910803,910803,0026649564062,,,,,0.275,0.,0.,0.,,
8350,10290,8504.13,8512.53,21,8.4,0,CZK,4,RICOH THETA SC2 for business,910812,910812,0026649564154,,,,,0.275,0.,0.,0.,,
23990,29390,24289.26,24297.66,21,8.4,0,CZK,1,RICOH GR III Street Edition + DB-110 - case GC-9,110400,110400,0027075402584,,,,,0.,0.,0.,0.,,
29390,35990,29743.80,29752.20,21,8.4,0,CZK,2,RICOH THETA Z1 51 GB,910820,910820,0026649564185,,,,,0.35,0.,0.,0.,,
7990,9890,8173.55,8181.95,21,8.4,0,CZK,23,RICOH WG-80 BLACK,03122,03122,0027075304383,,,,,0.173,12.25,6.15,2.95,,
7990,9890,8173.55,8181.95,21,8.4,0,CZK,26,RICOH WG-80 ORANGE,03127,03127,0027075304420,,,,,0.173,12.25,6.15,2.95,,
